Destination Network,Subnet Mask,Next Hop,Interface,Metric
89.2.225.0,255.255.255.0,192.168.0.209,eth0,7
250.237.99.0,255.255.255.0,192.168.77.102,eth3,6
105.113.65.0,255.255.255.0,192.168.97.29,eth1,14
16.237.196.0,255.255.255.0,192.168.110.65,eth1,15
8.81.31.0,255.255.255.0,192.168.163.206,eth0,2
12.70.119.0,255.255.255.0,192.168.129.55,eth0,19
153.46.254.0,255.255.255.0,192.168.6.254,eth2,11
75.54.52.0,255.255.255.0,192.168.49.229,eth3,6
115.17.206.0,255.255.255.0,192.168.0.172,eth2,3
231.101.251.0,255.255.255.0,192.168.246.209,eth1,20
7.185.1.0,255.255.255.0,192.168.194.109,eth3,11
58.135.240.0,255.255.255.0,192.168.125.233,eth1,15
106.40.207.0,255.255.255.0,192.168.92.135,eth0,8
83.245.132.0,255.255.255.0,192.168.47.80,eth2,16
149.218.238.0,255.255.255.0,192.168.132.68,eth3,2
75.157.235.0,255.255.255.0,192.168.22.23,eth0,8
26.82.17.0,255.255.255.0,192.168.205.169,eth2,9
223.33.159.0,255.255.255.0,192.168.226.154,eth0,6
221.247.20.0,255.255.255.0,192.168.151.115,eth1,11
8.8.167.0,255.255.255.0,192.168.31.124,eth2,13